Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
12,0.0020056432,-0.14651696,0.020818587,0.26200044,0,1.0,27
12,-0.00092469616,0.048301715,0.026058596,-0.024044046,1,1.0,28
12,4.1338164e-05,-0.14718406,0.025577715,0.2767454,0,1.0,29
12,-0.002902343,0.04756382,0.031112624,-0.0077618174,1,1.0,30
12,-0.0019510667,0.24222608,0.030957388,-0.29046825,1,1.0,31
12,0.0028934549,0.04667669,0.025148023,0.011815298,0,1.0,32
12,0.0038269886,-0.14879672,0.025384327,0.31232545,0,1.0,33
12,0.0008510543,-0.34427094,0.031630836,0.6129045,0,1.0,34
12,-0.0060343645,-0.14960496,0.043888927,0.33034953,1,1.0,35
12,-0.009026464,0.044865638,0.05049592,0.051823717,1,1.0,36
12,-0.008129151,-0.15094264,0.05153239,0.36000124,0,1.0,37
12,-0.011148004,0.043410357,0.058732416,0.08400258,1,1.0,38
12,-0.010279796,-0.15250216,0.060412467,0.39462206,0,1.0,39
12,-0.01332984,-0.348427,0.06830491,0.70572364,0,1.0,40
12,-0.02029838,-0.54442555,0.08241938,1.0191019,0,1.0,41
12,-0.03118689,-0.35049298,0.10280142,0.7533944,1,1.0,42
12,-0.03819675,-0.54687077,0.11786931,1.0765764,0,1.0,43
12,-0.049134165,-0.35348633,0.13940084,0.8230858,1,1.0,44
12,-0.05620389,-0.16051856,0.15586255,0.5772932,1,1.0,45
12,-0.059414264,0.032114953,0.16740842,0.3374839,1,1.0,46
12,-0.058771964,0.22450829,0.1741581,0.10191694,1,1.0,47
12,-0.054281797,0.027373709,0.17619644,0.44408968,0,1.0,48
12,-0.053734325,0.21962224,0.18507823,0.21171576,1,1.0,49
12,-0.04934188,0.02240293,0.18931255,0.5565954,0,1.0,50
12,-0.04889382,0.21443355,0.20044445,0.32902175,1,1.0,51
12,-0.04460515,0.01710673,0.20702489,0.67762256,0,1.0,52
13,0.0076051936,-0.20117852,0.02511279,0.27474785,0,1.0,1
13,0.003581623,-0.3966496,0.030607745,0.5752444,0,1.0,2
13,-0.004351369,-0.2019698,0.042112634,0.29235876,1,1.0,3
13,-0.008390765,-0.3976661,0.04795981,0.5980204,0,1.0,4
13,-0.016344087,-0.59342515,0.059920218,0.90541613,0,1.0,5
13,-0.02821259,-0.39916357,0.07802854,0.63215274,1,1.0,6
13,-0.036195863,-0.59528244,0.09067159,0.94835305,0,1.0,7
13,-0.04810151,-0.40149057,0.10963865,0.68548024,1,1.0,8
13,-0.056131322,-0.59795004,0.12334826,1.0105693,0,1.0,9
13,-0.06809033,-0.7944828,0.14355965,1.3393012,0,1.0,10
13,-0.08397998,-0.60143036,0.17034566,1.094763,1,1.0,11
13,-0.09600859,-0.40891102,0.19224092,0.86000353,1,1.0,12
14,-0.037302136,-0.16297144,0.012295729,0.34611297,0,1.0,1
14,-0.040561564,0.031973474,0.019217988,0.05733256,1,1.0,2
14,-0.039922096,0.22681467,0.020364638,-0.22922553,1,1.0,3
14,-0.035385802,0.42163977,0.015780129,-0.5154158,1,1.0,4
14,-0.026953006,0.22629921,0.0054718126,-0.21780226,0,1.0,5
14,-0.022427022,0.42134252,0.0011157675,-0.50875413,1,1.0,6
14,-0.014000173,0.22620486,-0.009059316,-0.21571979,0,1.0,7
14,-0.009476075,0.031213582,-0.013373711,0.07409171,0,1.0,8
14,-0.008851804,-0.16371411,-0.011891876,0.36252534,0,1.0,9
14,-0.012126086,0.031574823,-0.0046413695,0.066116534,1,1.0,10
14,-0.01149459,-0.16348028,-0.003319039,0.35733148,0,1.0,11
14,-0.014764195,-0.3585549,0.0038275905,0.64896595,0,1.0,12
14,-0.021935293,-0.55372995,0.01680691,0.9428517,0,1.0,13
14,-0.03300989,-0.7490743,0.035663944,1.2407678,0,1.0,14
14,-0.047991376,-0.9446355,0.060479302,1.5444062,0,1.0,15
14,-0.066884086,-0.7502901,0.09136742,1.2711911,1,1.0,16
14,-0.08188989,-0.9464518,0.11679125,1.591031,0,1.0,17
14,-0.100818925,-0.75289416,0.14861187,1.336931,1,1.0,18
14,-0.11587681,-0.9495425,0.17535049,1.6721835,0,1.0,19
14,-0.13486765,-1.1462141,0.20879416,2.0139563,0,1.0,20
15,0.027504124,-0.21236889,0.013752635,0.30358,0,1.0,1
15,0.023256747,-0.017445605,0.019824235,0.015265861,1,1.0,2
15,0.022907835,0.1773865,0.020129552,-0.27109694,1,1.0,3
15,0.026455564,0.3722155,0.014707613,-0.55736357,1,1.0,4
15,0.033899873,0.17689022,0.0035603414,-0.26008344,0,1.0,5
15,0.03743768,-0.018282373,-0.001641327,0.03372035,0,1.0,6
15,0.037072033,-0.21338075,-0.00096692005,0.32588497,0,1.0,7
15,0.03280442,-0.40848893,0.0055507794,0.6182628,0,1.0,8
15,0.024634639,-0.60368794,0.017916035,0.9126888,0,1.0,9
15,0.012560879,-0.79904765,0.036169812,1.2109483,0,1.0,10
15,-0.0034200738,-0.99461746,0.060388777,1.5147427,0,1.0,11
15,-0.023312423,-1.1904161,0.09068363,1.8256488,0,1.0,12
15,-0.047120742,-1.3864193,0.12719661,2.14507,0,1.0,13
15,-0.07484913,-1.5825455,0.170098,2.4741778,0,1.0,14
16,-0.034340587,-0.2436414,0.030330304,0.26614568,0,1.0,1
16,-0.039213415,-0.04896517,0.03565322,-0.016818626,1,1.0,2
