Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Score
11,0.074370965,0.799014,-0.08974329,-0.9411069,0,-2.425137907266617,()
11,0.09035125,0.60520864,-0.10856543,-0.6779179,0,-1.8822140991687775,()
11,0.102455415,0.41174906,-0.122123785,-0.4212926,0,-1.3558357954025269,()
11,0.1106904,0.21854989,-0.13054964,-0.16946743,0,-0.842585414648056,()
11,0.115061395,0.41527534,-0.13393898,-0.5003172,1,-0.33893436193466187,()
11,0.1233669,0.2222706,-0.14394532,-0.25266346,0,-1.0006338357925415,()
11,0.12781231,0.029465996,-0.1489986,-0.008621552,0,-0.5053281784057617,()
11,0.12840164,-0.16323987,-0.14917102,0.23359086,0,-0.017242133617401123,()
11,0.12513684,0.033663683,-0.14449921,-0.10217825,1,0.4671812057495117,()
11,0.12581012,0.23052908,-0.14654277,-0.43673387,1,-0.20435601472854614,()
11,0.13042068,0.037752394,-0.15527746,-0.19359772,0,-0.873468816280365,()
11,0.13117574,-0.15484686,-0.15914941,0.04635699,0,-0.38719475269317627,()
11,0.1280788,-0.34737125,-0.15822227,0.28490135,0,0.09271353483200073,()
11,0.121131375,-0.53992444,-0.15252425,0.52379984,0,0.5698025226593018,()
11,0.11033289,-0.34302208,-0.14204824,0.1872067,1,1.04760080575943,()
11,0.10347245,-0.14618376,-0.13830411,-0.14669886,1,0.37441253662109375,()
11,0.100548774,0.05061989,-0.1412381,-0.4796174,1,-0.2933979034423828,()
11,0.10156117,0.24742362,-0.15083043,-0.81326956,1,-0.9592339396476746,()
11,0.10650964,0.054653652,-0.16709583,-0.5715737,0,-1.6265392303466797,()
11,0.107602715,-0.13777977,-0.1785273,-0.33584175,0,-1.143147051334381,()
11,0.10484712,0.059374005,-0.18524413,-0.67908084,1,-0.6716832518577576,()
11,0.1060346,-0.13275757,-0.19882575,-0.44996497,0,-1.3581618666648865,()
11,0.10337945,-0.32459402,-0.20782505,-0.22594969,0,-0.8999302983283997,()
12,0.03000209,-0.19442429,0.0001108884,0.26650372,0,0.05276117590256035,()
12,0.026113603,-0.38954782,0.005440963,0.5592216,0,-0.5330074578523636,()
12,0.018322647,-0.5847457,0.016625395,0.8536138,0,-1.1184431612491608,()
12,0.0066277324,-0.7800903,0.033697672,1.1514778,0,-1.7072277143597603,()
12,-0.008974073,-0.97563535,0.056727227,1.454534,0,-2.302955463528633,()
12,-0.02848678,-1.171406,0.08581791,1.7643865,0,-2.909068390727043,()
12,-0.0519149,-0.9773528,0.12110564,1.4995774,1,-3.5287730395793915,()
12,-0.07146195,-0.7838923,0.1510972,1.2470303,1,-2.9991552233695984,()
12,-0.0871398,-0.9805939,0.17603779,1.5829747,0,-2.4940595030784607,()
12,-0.10675168,-0.78794897,0.20769729,1.3499614,1,-3.1659498810768127,()
13,-0.047679923,-0.1511819,-0.040727567,0.31382567,0,0.06898529827594757,()
13,-0.050703563,0.044495847,-0.034451053,0.0085818535,1,0.6276514381170273,()
13,-0.049813647,0.2400945,-0.034279417,-0.29476863,1,0.017163529992103577,()
13,-0.045011755,0.43568796,-0.04017479,-0.59806263,1,-0.5895372480154037,()
13,-0.036297996,0.6313484,-0.05213604,-0.90312463,1,-1.1961251497268677,()
13,-0.02367103,0.4369699,-0.070198536,-0.6272742,0,-1.8062494695186615,()
13,-0.01493163,0.24289435,-0.08274402,-0.35749924,0,-1.2545481324195862,()
13,-0.010073743,0.049040247,-0.089894004,-0.09201195,0,-0.7149986922740936,()
13,-0.009092938,-0.14468592,-0.091734245,0.17101073,0,-0.1840241253376007,()
13,-0.011986657,0.05162111,-0.08831403,-0.14914379,1,0.3420218825340271,()
13,-0.010954235,-0.14213249,-0.091296904,0.1144234,0,-0.2982877194881439,()
13,-0.013796885,0.05417097,-0.089008436,-0.2056095,1,0.22884681820869446,()
